sveitarfelag,ar,mannfjoldi,mannfjoldi_leiksk,mannfjoldi_skol
Reykjavíkurborg,1998,107341,10239,19315
Reykjavíkurborg,1999,108484,10059,19404
Reykjavíkurborg,2000,109887,9954,19575
Reykjavíkurborg,2001,111544,9965,19778
Reykjavíkurborg,2002,112411,9883,19681
Reykjavíkurborg,2003,112554,9634,19628
Reykjavíkurborg,2004,113288,9632,19691
Reykjavíkurborg,2005,113848,9586,19798
Reykjavíkurborg,2006,114968,9631,19842
Reykjavíkurborg,2007,116642,9572,19817
Reykjavíkurborg,2008,118827,9572,19606
Reykjavíkurborg,2009,119547,9825,19359
Reykjavíkurborg,2010,118326,10082,18900
Reykjavíkurborg,2011,118898,10258,18778
Reykjavíkurborg,2012,118814,10140,18528
Reykjavíkurborg,2013,119764,10308,18507
Reykjavíkurborg,2014,121230,10299,18704
Reykjavíkurborg,2015,121822,10121,18772
Reykjavíkurborg,2016,122460,9713,18905
Reykjavíkurborg,2017,123246,9353,19109
Reykjavíkurborg,2018,126041,9103,19226
Reykjavíkurborg,2019,128793,8911,19409
Reykjavíkurborg,2020,131136,8903,19562
Reykjavíkurborg,2021,133262,9033,19876
Reykjavíkurborg,2022,135688,9234,19991
Reykjavíkurborg,2023,139875,9337,20500
Kópavogsbær,1998,19867,1984,4021
Kópavogsbær,1999,21508,2194,4255
Kópavogsbær,2000,22693,2258,4463
Kópavogsbær,2001,23647,2315,4617
Kópavogsbær,2002,24291,2292,4682
Kópavogsbær,2003,25016,2368,4746
Kópavogsbær,2004,25352,2378,4827
Kópavogsbær,2005,25803,2396,4951
Kópavogsbær,2006,26512,2417,5076
Kópavogsbær,2007,27525,2522,5158
Kópavogsbær,2008,28885,2644,5245
Kópavogsbær,2009,29976,2813,5368
Kópavogsbær,2010,30357,2988,5428
Kópavogsbær,2011,30779,3033,5538
Kópavogsbær,2012,31205,3035,5652
Kópavogsbær,2013,31726,3078,5702
Kópavogsbær,2014,32308,3087,5803
Kópavogsbær,2015,33205,3043,5956
Kópavogsbær,2016,34140,2943,6146
Kópavogsbær,2017,35246,2890,6333
Kópavogsbær,2018,35970,2812,6371
Kópavogsbær,2019,36975,2759,6445
Kópavogsbær,2020,37959,2750,6519
Kópavogsbær,2021,38332,2830,6589
Kópavogsbær,2022,38998,2891,6643
Kópavogsbær,2023,39810,2889,6705
Seltjarnarnesbær,1998,4602,400,976
Seltjarnarnesbær,1999,4698,393,978
Seltjarnarnesbær,2000,4665,349,997
Seltjarnarnesbær,2001,4673,333,1000
Seltjarnarnesbær,2002,4659,339,971
Seltjarnarnesbær,2003,4608,313,1011
Seltjarnarnesbær,2004,4577,299,1010
Seltjarnarnesbær,2005,4548,301,990
Seltjarnarnesbær,2006,4471,278,957
Seltjarnarnesbær,2007,4471,290,943
Seltjarnarnesbær,2008,4454,296,897
Seltjarnarnesbær,2009,4403,275,852
Seltjarnarnesbær,2010,4395,269,831
Seltjarnarnesbær,2011,4320,265,798
Seltjarnarnesbær,2012,4313,267,774
Seltjarnarnesbær,2013,4322,273,748
Seltjarnarnesbær,2014,4381,297,751
Seltjarnarnesbær,2015,4411,279,765
Seltjarnarnesbær,2016,4415,288,716
Seltjarnarnesbær,2017,4450,293,738
Seltjarnarnesbær,2018,4575,330,740
Seltjarnarnesbær,2019,4664,348,774
Seltjarnarnesbær,2020,4726,348,784
Seltjarnarnesbær,2021,4715,348,798
Seltjarnarnesbær,2022,4720,342,821
Seltjarnarnesbær,2023,4674,336,806
Garðabær,1998,9216,804,2125
Garðabær,1999,9316,811,2094
Garðabær,2000,9378,776,2115
Garðabær,2001,9611,761,2127
Garðabær,2002,10213,811,2237
Garðabær,2003,10475,838,2295
Garðabær,2004,10764,863,2366
Garðabær,2005,11085,937,2393
Garðabær,2006,11649,1029,2494
Garðabær,2007,11832,1031,2468
Garðabær,2008,12360,1044,2521
Garðabær,2009,12876,1092,2582
Garðabær,2010,13166,1134,2603
Garðabær,2011,13393,1179,2643
Garðabær,2012,13702,1197,2687
Garðabær,2013,13872,1190,2686
Garðabær,2014,14180,1211,2718
Garðabær,2015,14453,1199,2798
Garðabær,2016,14717,1148,2878
Garðabær,2017,15230,1093,3023
Garðabær,2018,15709,1097,3093
Garðabær,2019,16299,1178,3146
Garðabær,2020,16924,1262,3196
Garðabær,2021,17693,1366,3256
Garðabær,2022,18445,1542,3295
Garðabær,2023,18891,1612,3310
Hafnarfjarðarkaupstaður,1998,18196,1945,4157
Hafnarfjarðarkaupstaður,1999,18656,1980,4203
Hafnarfjarðarkaupstaður,2000,19158,1939,4315
Hafnarfjarðarkaupstaður,2001,19688,1976,4419
Hafnarfjarðarkaupstaður,2002,20264,1997,4522
Hafnarfjarðarkaupstaður,2003,20720,1982,4579
Hafnarfjarðarkaupstaður,2004,21207,2018,4641
Hafnarfjarðarkaupstaður,2005,22000,2151,4747
Hafnarfjarðarkaupstaður,2006,22498,2181,4815
Hafnarfjarðarkaupstaður,2007,23751,2251,5054
Hafnarfjarðarkaupstaður,2008,25036,2369,5098
Hafnarfjarðarkaupstaður,2009,25850,2522,5105
Hafnarfjarðarkaupstaður,2010,25913,2546,5068
Hafnarfjarðarkaupstaður,2011,26099,2569,5092
Hafnarfjarðarkaupstaður,2012,26486,2640,5123
Hafnarfjarðarkaupstaður,2013,26808,2598,5144
Hafnarfjarðarkaupstaður,2014,27357,2594,5189
Hafnarfjarðarkaupstaður,2015,27875,2558,5255
Hafnarfjarðarkaupstaður,2016,28189,2413,5341
Hafnarfjarðarkaupstaður,2017,28703,2331,5432
Hafnarfjarðarkaupstaður,2018,29412,2320,5488
Hafnarfjarðarkaupstaður,2019,29799,2263,5539
Hafnarfjarðarkaupstaður,2020,29971,2215,5524
Hafnarfjarðarkaupstaður,2021,29687,2189,5464
Hafnarfjarðarkaupstaður,2022,29763,2201,5410
Hafnarfjarðarkaupstaður,2023,30568,2268,5478
Mosfellsbær,1998,5246,544,1284
Mosfellsbær,1999,5540,573,1365
Mosfellsbær,2000,5869,638,1411
Mosfellsbær,2001,6113,649,1450
Mosfellsbær,2002,6323,637,1511
Mosfellsbær,2003,6473,663,1523
Mosfellsbær,2004,6589,652,1543
Mosfellsbær,2005,6817,689,1569
Mosfellsbær,2006,7165,710,1625
Mosfellsbær,2007,7516,729,1692
Mosfellsbær,2008,8192,770,1745
Mosfellsbær,2009,8403,816,1818
Mosfellsbær,2010,8553,849,1856
Mosfellsbær,2011,8642,856,1861
Mosfellsbær,2012,8854,895,1882
Mosfellsbær,2013,8978,880,1894
Mosfellsbær,2014,9075,827,1924
Mosfellsbær,2015,9300,822,1974
Mosfellsbær,2016,9481,788,2012
Mosfellsbær,2017,9783,763,2075
Mosfellsbær,2018,10556,805,2215
Mosfellsbær,2019,11463,871,2310
Mosfellsbær,2020,12073,977,2340
Mosfellsbær,2021,12589,1024,2449
Mosfellsbær,2022,13024,1066,2490
Mosfellsbær,2023,13430,1106,2481
Kjósarhreppur,1998,138,7,34
Kjósarhreppur,1999,142,8,32
Kjósarhreppur,2000,142,8,30
Kjósarhreppur,2001,151,8,33
Kjósarhreppur,2002,140,7,31
Kjósarhreppur,2003,146,6,33
Kjósarhreppur,2004,140,4,30
Kjósarhreppur,2005,143,5,30
Kjósarhreppur,2006,163,6,36
Kjósarhreppur,2007,182,9,36
Kjósarhreppur,2008,191,8,39
Kjósarhreppur,2009,196,9,37
Kjósarhreppur,2010,197,9,36
Kjósarhreppur,2011,210,11,35
Kjósarhreppur,2012,220,6,37
Kjósarhreppur,2013,205,5,28
Kjósarhreppur,2014,221,9,33
Kjósarhreppur,2015,216,9,33
Kjósarhreppur,2016,217,9,26
Kjósarhreppur,2017,220,9,27
Kjósarhreppur,2018,221,7,28
Kjósarhreppur,2019,238,8,32
Kjósarhreppur,2020,245,10,35
Kjósarhreppur,2021,250,11,30
Kjósarhreppur,2022,244,12,27
Kjósarhreppur,2023,285,12,31
Reykjanesbær,1998,10405,1092,2282
Reykjanesbær,1999,10443,1078,2252
Reykjanesbær,2000,10624,1044,2291
Reykjanesbær,2001,10856,1040,2274
Reykjanesbær,2002,10937,1021,2282
Reykjanesbær,2003,10923,1010,2299
Reykjanesbær,2004,10908,993,2266
Reykjanesbær,2005,10952,989,2274
Reykjanesbær,2006,11367,992,2413
Reykjanesbær,2007,11952,1015,2430
Reykjanesbær,2008,13440,1205,2604
Reykjanesbær,2009,14172,1318,2724
Reykjanesbær,2010,14091,1320,2737
Reykjanesbær,2011,13971,1311,2748
Reykjanesbær,2012,14137,1369,2737
Reykjanesbær,2013,14231,1370,2688
Reykjanesbær,2014,14527,1362,2711
Reykjanesbær,2015,14924,1404,2759
Reykjanesbær,2016,15233,1332,2789
Reykjanesbær,2017,16350,1373,2876
Reykjanesbær,2018,17805,1390,3040
Reykjanesbær,2019,18920,1438,3104
Reykjanesbær,2020,19421,1451,3142
Reykjanesbær,2021,19676,1475,3211
Reykjanesbær,2022,20416,1556,3355
Reykjanesbær,2023,22059,1615,3482
Grindavíkurbær,1998,2134,231,475
Grindavíkurbær,1999,2179,236,500
Grindavíkurbær,2000,2242,251,501
Grindavíkurbær,2001,2314,253,525
Grindavíkurbær,2002,2341,260,523
Grindavíkurbær,2003,2379,251,538
Grindavíkurbær,2004,2434,267,569
Grindavíkurbær,2005,2494,277,578
Grindavíkurbær,2006,2614,281,615
Grindavíkurbær,2007,2701,271,618
Grindavíkurbær,2008,2779,283,615
Grindavíkurbær,2009,2850,295,637
Grindavíkurbær,2010,2837,287,609
Grindavíkurbær,2011,2821,269,616
Grindavíkurbær,2012,2830,272,599
Grindavíkurbær,2013,2860,294,586
Grindavíkurbær,2014,2888,289,565
Grindavíkurbær,2015,2995,283,585
Grindavíkurbær,2016,3126,317,604
Grindavíkurbær,2017,3218,316,613
Grindavíkurbær,2018,3323,304,636
Grindavíkurbær,2019,3427,288,658
Grindavíkurbær,2020,3512,291,672
Grindavíkurbær,2021,3539,284,684
Grindavíkurbær,2022,3585,273,705
Grindavíkurbær,2023,3669,270,703
Sveitarfélagið Vogar,1998,716,82,175
Sveitarfélagið Vogar,1999,715,88,169
Sveitarfélagið Vogar,2000,732,88,161
Sveitarfélagið Vogar,2001,784,93,185
Sveitarfélagið Vogar,2002,839,99,202
Sveitarfélagið Vogar,2003,866,96,216
Sveitarfélagið Vogar,2004,932,97,240
Sveitarfélagið Vogar,2005,937,86,244
Sveitarfélagið Vogar,2006,1019,95,259
Sveitarfélagið Vogar,2007,1112,100,277
Sveitarfélagið Vogar,2008,1231,134,280
Sveitarfélagið Vogar,2009,1218,131,277
Sveitarfélagið Vogar,2010,1206,133,266
Sveitarfélagið Vogar,2011,1161,130,243
Sveitarfélagið Vogar,2012,1126,130,243
Sveitarfélagið Vogar,2013,1105,116,243
Sveitarfélagið Vogar,2014,1127,92,256
Sveitarfélagið Vogar,2015,1102,78,245
Sveitarfélagið Vogar,2016,1148,74,255
Sveitarfélagið Vogar,2017,1206,83,256
Sveitarfélagið Vogar,2018,1268,92,248
Sveitarfélagið Vogar,2019,1286,81,229
Sveitarfélagið Vogar,2020,1308,81,223
Sveitarfélagið Vogar,2021,1331,82,218
Sveitarfélagið Vogar,2022,1354,77,221
Sveitarfélagið Vogar,2023,1396,82,219
Suðurnesjabær,1998,2460,256,676
Suðurnesjabær,1999,2522,245,671
Suðurnesjabær,2000,2508,243,659
Suðurnesjabær,2001,2577,240,666
Suðurnesjabær,2002,2613,247,647
Suðurnesjabær,2003,2634,247,625
Suðurnesjabær,2004,2679,247,625
Suðurnesjabær,2005,2727,257,617
Suðurnesjabær,2006,2915,273,641
Suðurnesjabær,2007,3147,296,677
Suðurnesjabær,2008,3209,296,656
Suðurnesjabær,2009,3304,328,675
Suðurnesjabær,2010,3225,316,660
Suðurnesjabær,2011,3135,313,630
Suðurnesjabær,2012,3149,310,619
Suðurnesjabær,2013,3010,289,559
Suðurnesjabær,2014,3018,275,553
Suðurnesjabær,2015,3005,273,555
Suðurnesjabær,2016,3002,265,541
Suðurnesjabær,2017,3219,274,580
Suðurnesjabær,2018,3374,276,606
Suðurnesjabær,2019,3480,287,596
Suðurnesjabær,2020,3588,287,647
Suðurnesjabær,2021,3649,294,646
Suðurnesjabær,2022,3753,284,672
Suðurnesjabær,2023,3925,285,697
Akraneskaupstaður,1998,5125,463,1168
Akraneskaupstaður,1999,5186,474,1154
Akraneskaupstaður,2000,5340,500,1148
Akraneskaupstaður,2001,5450,499,1170
Akraneskaupstaður,2002,5510,520,1161
Akraneskaupstaður,2003,5595,533,1168
Akraneskaupstaður,2004,5588,513,1174
Akraneskaupstaður,2005,5657,504,1197
Akraneskaupstaður,2006,5786,500,1240
Akraneskaupstaður,2007,5976,520,1237
Akraneskaupstaður,2008,6401,562,1313
Akraneskaupstaður,2009,6609,600,1343
Akraneskaupstaður,2010,6549,598,1333
Akraneskaupstaður,2011,6623,624,1322
Akraneskaupstaður,2012,6592,619,1312
Akraneskaupstaður,2013,6625,618,1314
Akraneskaupstaður,2014,6699,611,1334
Akraneskaupstaður,2015,6767,614,1339
Akraneskaupstaður,2016,6908,623,1356
Akraneskaupstaður,2017,7051,611,1368
Akraneskaupstaður,2018,7259,599,1375
Akraneskaupstaður,2019,7411,593,1386
Akraneskaupstaður,2020,7534,589,1409
Akraneskaupstaður,2021,7697,591,1440
Akraneskaupstaður,2022,7841,584,1452
Akraneskaupstaður,2023,7997,607,1489
Skorradalshreppur,1998,52,4,5
Skorradalshreppur,1999,53,4,9
Skorradalshreppur,2000,45,4,9
Skorradalshreppur,2001,47,3,8
Skorradalshreppur,2002,57,6,9
Skorradalshreppur,2003,65,9,9
Skorradalshreppur,2004,55,6,9
Skorradalshreppur,2005,64,6,11
Skorradalshreppur,2006,64,8,8
Skorradalshreppur,2007,56,5,9
Skorradalshreppur,2008,61,5,9
Skorradalshreppur,2009,57,5,12
Skorradalshreppur,2010,61,6,13
Skorradalshreppur,2011,57,4,12
Skorradalshreppur,2012,60,3,10
Skorradalshreppur,2013,57,4,8
Skorradalshreppur,2014,58,3,10
Skorradalshreppur,2015,62,2,11
Skorradalshreppur,2016,53,1,10
Skorradalshreppur,2017,58,2,10
Skorradalshreppur,2018,56,1,8
Skorradalshreppur,2019,58,2,8
Skorradalshreppur,2020,65,2,11
Skorradalshreppur,2021,66,4,7
Skorradalshreppur,2022,60,2,9
Skorradalshreppur,2023,75,5,13
Hvalfjarðarsveit,1998,545,44,149
Hvalfjarðarsveit,1999,538,41,142
Hvalfjarðarsveit,2000,547,43,149
Hvalfjarðarsveit,2001,555,35,150
Hvalfjarðarsveit,2002,557,32,155
Hvalfjarðarsveit,2003,548,31,149
Hvalfjarðarsveit,2004,562,38,143
Hvalfjarðarsveit,2005,560,38,145
Hvalfjarðarsveit,2006,605,40,148
Hvalfjarðarsveit,2007,608,44,132
Hvalfjarðarsveit,2008,686,54,141
Hvalfjarðarsveit,2009,641,49,141
Hvalfjarðarsveit,2010,624,52,128
Hvalfjarðarsveit,2011,617,46,123
Hvalfjarðarsveit,2012,627,46,116
Hvalfjarðarsveit,2013,610,51,104
Hvalfjarðarsveit,2014,617,51,101
Hvalfjarðarsveit,2015,635,46,106
Hvalfjarðarsveit,2016,622,50,111
Hvalfjarðarsveit,2017,636,53,110
Hvalfjarðarsveit,2018,648,47,116
Hvalfjarðarsveit,2019,638,36,119
Hvalfjarðarsveit,2020,625,34,102
Hvalfjarðarsveit,2021,647,43,110
Hvalfjarðarsveit,2022,687,42,117
Hvalfjarðarsveit,2023,765,48,118
Borgarbyggð,1998,3259,296,743
Borgarbyggð,1999,3297,292,745
Borgarbyggð,2000,3296,294,742
Borgarbyggð,2001,3353,291,754
Borgarbyggð,2002,3411,300,762
Borgarbyggð,2003,3413,272,765
Borgarbyggð,2004,3471,288,780
Borgarbyggð,2005,3446,297,769
Borgarbyggð,2006,3640,308,792
Borgarbyggð,2007,3710,310,808
Borgarbyggð,2008,3781,315,784
Borgarbyggð,2009,3744,311,755
Borgarbyggð,2010,3542,275,721
Borgarbyggð,2011,3476,275,694
Borgarbyggð,2012,3470,289,662
Borgarbyggð,2013,3469,272,643
Borgarbyggð,2014,3535,279,645
Borgarbyggð,2015,3539,270,650
Borgarbyggð,2016,3637,284,652
Borgarbyggð,2017,3677,274,629
Borgarbyggð,2018,3745,268,622
Borgarbyggð,2019,3807,268,609
Borgarbyggð,2020,3852,270,613
Borgarbyggð,2021,3758,266,592
Borgarbyggð,2022,3868,262,618
Borgarbyggð,2023,4090,277,629
Grundarfjarðarbær,1998,922,109,239
Grundarfjarðarbær,1999,936,104,248
Grundarfjarðarbær,2000,952,98,260
Grundarfjarðarbær,2001,949,100,250
Grundarfjarðarbær,2002,965,88,264
Grundarfjarðarbær,2003,969,85,267
Grundarfjarðarbær,2004,934,76,258
Grundarfjarðarbær,2005,938,69,257
Grundarfjarðarbær,2006,975,65,249
Grundarfjarðarbær,2007,949,65,227
Grundarfjarðarbær,2008,918,64,206
Grundarfjarðarbær,2009,925,62,198
Grundarfjarðarbær,2010,904,62,186
Grundarfjarðarbær,2011,903,69,169
Grundarfjarðarbær,2012,899,68,155
Grundarfjarðarbær,2013,905,70,143
Grundarfjarðarbær,2014,872,71,132
Grundarfjarðarbær,2015,900,75,128
Grundarfjarðarbær,2016,899,74,123
Grundarfjarðarbær,2017,869,74,109
Grundarfjarðarbær,2018,877,70,113
Grundarfjarðarbær,2019,866,66,122
Grundarfjarðarbær,2020,876,76,121
Grundarfjarðarbær,2021,862,60,130
Grundarfjarðarbær,2022,840,67,126
Grundarfjarðarbær,2023,861,68,135
Eyja- og Miklaholtshreppur,1998,122,4,28
Eyja- og Miklaholtshreppur,1999,120,4,31
Eyja- og Miklaholtshreppur,2000,115,5,31
Eyja- og Miklaholtshreppur,2001,117,6,27
Eyja- og Miklaholtshreppur,2002,117,4,24
Eyja- og Miklaholtshreppur,2003,115,3,26
Eyja- og Miklaholtshreppur,2004,129,6,25
Eyja- og Miklaholtshreppur,2005,139,11,24
Eyja- og Miklaholtshreppur,2006,139,7,25
Eyja- og Miklaholtshreppur,2007,140,10,27
Eyja- og Miklaholtshreppur,2008,128,9,24
Eyja- og Miklaholtshreppur,2009,129,9,24
Eyja- og Miklaholtshreppur,2010,139,12,24
Eyja- og Miklaholtshreppur,2011,135,9,19
Eyja- og Miklaholtshreppur,2012,132,11,16
Eyja- og Miklaholtshreppur,2013,158,14,18
Eyja- og Miklaholtshreppur,2014,148,13,19
Eyja- og Miklaholtshreppur,2015,144,8,21
Eyja- og Miklaholtshreppur,2016,138,7,17
Eyja- og Miklaholtshreppur,2017,120,7,15
Eyja- og Miklaholtshreppur,2018,129,9,19
Eyja- og Miklaholtshreppur,2019,117,5,15
Eyja- og Miklaholtshreppur,2020,124,8,16
Eyja- og Miklaholtshreppur,2021,119,6,14
Eyja- og Miklaholtshreppur,2022,102,2,10
Eyja- og Miklaholtshreppur,2023,114,6,14
Snæfellsbær,1998,1743,165,427
Snæfellsbær,1999,1728,162,418
Snæfellsbær,2000,1719,149,401
Snæfellsbær,2001,1734,166,389
Snæfellsbær,2002,1804,194,395
Snæfellsbær,2003,1778,196,382
Snæfellsbær,2004,1747,187,362
Snæfellsbær,2005,1719,189,351
Snæfellsbær,2006,1731,197,346
Snæfellsbær,2007,1709,166,356
Snæfellsbær,2008,1716,149,339
Snæfellsbær,2009,1717,154,340
Snæfellsbær,2010,1702,152,332
Snæfellsbær,2011,1723,161,322
Snæfellsbær,2012,1737,156,337
Snæfellsbær,2013,1722,165,323
Snæfellsbær,2014,1691,149,325
Snæfellsbær,2015,1679,140,331
Snæfellsbær,2016,1663,131,323
Snæfellsbær,2017,1625,117,306
Snæfellsbær,2018,1641,101,304
Snæfellsbær,2019,1674,102,321
Snæfellsbær,2020,1674,104,305
Snæfellsbær,2021,1679,103,294
Snæfellsbær,2022,1666,111,290
Snæfellsbær,2023,1678,107,271
Sveitarfélagið Stykkishólmur,1998,1323,120,312
Sveitarfélagið Stykkishólmur,1999,1295,104,299
Sveitarfélagið Stykkishólmur,2000,1273,88,292
Sveitarfélagið Stykkishólmur,2001,1284,84,285
Sveitarfélagið Stykkishólmur,2002,1299,107,282
Sveitarfélagið Stykkishólmur,2003,1277,111,275
Sveitarfélagið Stykkishólmur,2004,1214,104,263
Sveitarfélagið Stykkishólmur,2005,1188,100,251
Sveitarfélagið Stykkishólmur,2006,1220,100,249
Sveitarfélagið Stykkishólmur,2007,1200,96,240
Sveitarfélagið Stykkishólmur,2008,1169,83,227
Sveitarfélagið Stykkishólmur,2009,1171,82,214
Sveitarfélagið Stykkishólmur,2010,1155,66,220
Sveitarfélagið Stykkishólmur,2011,1161,71,220
Sveitarfélagið Stykkishólmur,2012,1165,80,208
Sveitarfélagið Stykkishólmur,2013,1170,89,191
Sveitarfélagið Stykkishólmur,2014,1148,82,185
Sveitarfélagið Stykkishólmur,2015,1160,86,196
Sveitarfélagið Stykkishólmur,2016,1168,88,183
Sveitarfélagið Stykkishólmur,2017,1220,90,190
Sveitarfélagið Stykkishólmur,2018,1235,93,202
Sveitarfélagið Stykkishólmur,2019,1263,101,205
Sveitarfélagið Stykkishólmur,2020,1273,107,201
Sveitarfélagið Stykkishólmur,2021,1262,105,200
Sveitarfélagið Stykkishólmur,2022,1290,107,202
Sveitarfélagið Stykkishólmur,2023,1308,105,204
Dalabyggð,1998,833,62,163
Dalabyggð,1999,797,59,148
Dalabyggð,2000,775,52,142
Dalabyggð,2001,789,60,143
Dalabyggð,2002,749,60,127
Dalabyggð,2003,756,60,130
Dalabyggð,2004,738,55,126
Dalabyggð,2005,711,50,118
Dalabyggð,2006,717,46,123
Dalabyggð,2007,681,42,119
Dalabyggð,2008,709,49,133
Dalabyggð,2009,714,55,125
Dalabyggð,2010,694,52,127
Dalabyggð,2011,684,55,117
Dalabyggð,2012,686,53,119
Dalabyggð,2013,665,54,102
Dalabyggð,2014,673,50,112
Dalabyggð,2015,680,51,121
Dalabyggð,2016,678,46,123
Dalabyggð,2017,673,43,124
Dalabyggð,2018,667,39,120
Dalabyggð,2019,673,34,120
Dalabyggð,2020,639,28,110
Dalabyggð,2021,620,25,106
Dalabyggð,2022,665,31,114
Dalabyggð,2023,653,29,113
Bolungarvíkurkaupstaður,1998,1093,94,257
Bolungarvíkurkaupstaður,1999,1018,90,223
Bolungarvíkurkaupstaður,2000,1001,87,228
Bolungarvíkurkaupstaður,2001,997,87,216
Bolungarvíkurkaupstaður,2002,959,78,207
Bolungarvíkurkaupstaður,2003,951,83,202
Bolungarvíkurkaupstaður,2004,944,83,192
Bolungarvíkurkaupstaður,2005,930,69,190
Bolungarvíkurkaupstaður,2006,920,70,183
Bolungarvíkurkaupstaður,2007,902,67,167
Bolungarvíkurkaupstaður,2008,908,72,176
Bolungarvíkurkaupstaður,2009,966,78,176
Bolungarvíkurkaupstaður,2010,970,78,169
Bolungarvíkurkaupstaður,2011,888,69,163
Bolungarvíkurkaupstaður,2012,889,71,150
Bolungarvíkurkaupstaður,2013,918,79,156
Bolungarvíkurkaupstaður,2014,950,78,172
Bolungarvíkurkaupstaður,2015,923,70,169
Bolungarvíkurkaupstaður,2016,904,72,162
Bolungarvíkurkaupstaður,2017,908,75,167
Bolungarvíkurkaupstaður,2018,945,69,172
Bolungarvíkurkaupstaður,2019,953,65,173
Bolungarvíkurkaupstaður,2020,955,65,169
Bolungarvíkurkaupstaður,2021,958,70,162
Bolungarvíkurkaupstaður,2022,956,71,157
Bolungarvíkurkaupstaður,2023,997,72,160
Ísafjarðarbær,1998,4423,463,993
Ísafjarðarbær,1999,4482,454,974
Ísafjarðarbær,2000,4280,424,934
Ísafjarðarbær,2001,4224,416,926
Ísafjarðarbær,2002,4184,382,919
Ísafjarðarbær,2003,4141,356,913
Ísafjarðarbær,2004,4139,332,908
Ísafjarðarbær,2005,4134,317,914
Ísafjarðarbær,2006,4108,309,897
Ísafjarðarbær,2007,4090,309,857
Ísafjarðarbær,2008,3976,295,812
Ísafjarðarbær,2009,3972,293,808
Ísafjarðarbær,2010,3899,310,750
Ísafjarðarbær,2011,3824,305,719
Ísafjarðarbær,2012,3755,293,699
Ísafjarðarbær,2013,3748,282,680
Ísafjarðarbær,2014,3639,289,611
Ísafjarðarbær,2015,3629,280,604
Ísafjarðarbær,2016,3623,281,590
