sveitarfelag,stodugildi_total,ar,stodugildi_skola_kenn,stodugildi_skola_kenn_an_rettinda,stodugildi_skola,stodugildi_leiksk_kenn,stodugildi_leiksk_onnur_mennt,stodugildi_leikskola,stodugildi_annad
Sveitarfélagið Árborg,561,2019,134.2358,23.180500000000002,250.2988,41.05000042915344,34.170000076293945,152.3699996471405,158.33120035285947
Mýrdalshreppur,38.7,2019,5.8004,2.0409,13.156800000000002,1.0299999713897705,2.880000114440918,7.9700000286102295,17.57319997138977
Skaftárhreppur,31.8,2019,7.47,0,11.57,1,0,8.190000057220459,12.039999942779541
Rangárþing eystra,109.19,2019,29.49,0.85,47,6.630000114440918,6.829999923706055,30.5600004196167,31.6299995803833
Rangárþing ytra,114.35,2019,25.0785,1.81,43.8985,6.9700000286102295,10.84000015258789,39.91000056266785,30.54149943733215
Hrunamannahreppur,71.2,2019,15.7083,0,23.5283,1.8600000143051147,1.4800000190734863,14.209999918937683,33.46170008106232
Hveragerðisbær,221.1,2019,36.62,1.71,60.61,12.180000305175781,3.4000000953674316,57.86000108718872,102.62999891281129
Sveitarfélagið Ölfus,153.95000000000002,2019,28.57,1.5,47.980000000000004,8.800000190734863,9.800000190734863,29.68000030517578,76.28999969482423
Grímsnes- og Grafningshreppur,36.85,2019,6.99,3.96,16.78,2,1,11.149999618530273,8.920000381469727
Reykjavíkurborg,8409.1028,2020,1373.3199999999995,132.93,2233.4499999999994,381.1900020837784,291.7300003916025,1539.8800048977137,4635.772795102288
Kópavogsbær,2267.8,2020,438.38,64.03,749.9449999999999,165.57000041007996,59.46000015735626,538.5199965238571,979.3350034761431
Seltjarnarnesbær,255.69,2020,44.31,4.13,61.410000000000004,11.079999923706055,0,70.89999961853027,123.38000038146973
Garðabær,777.5999999999999,2020,197.07000000000002,17.419999999999998,320.53000000000003,58.28000044822693,18.599999845027924,199.3999997973442,257.6700002026557
Hafnarfjarðarkaupstaður,1589.175,2020,362.84999999999997,101.10000000000001,642.55,122.16999936103821,73.27999997138977,474.8999991416931,471.7250008583069
Mosfellsbær,648.11,2020,144.25,34.69,236.57,38.91000044345856,39.100000619888306,187.2600005865097,224.27999941349032
Reykjanesbær,881.5,2020,190.4,62.81999999999999,399.19,45.06000089645386,33.28000020980835,155.3100004196167,326.9999995803833
Grindavíkurbær,183.31,2020,38.13,11.41,75.28,6.230000019073486,3,25.709999561309814,82.32000043869019
Sveitarfélagið Vogar,79.61,2020,15.18,12.06,39.900000000000006,4.380000114440918,2,17.72000026702881,21.989999732971185
Akraneskaupstaður,554.59,2020,95.84,3.58,163.56,46.959999084472656,21.700000286102295,113.91999959945679,277.11000040054324
Hvalfjarðarsveit,41.989999999999995,2020,11.4,0,21.52,4.590000152587891,0.8799999952316284,11.830000281333923,8.639999718666072
Borgarbyggð,307.565,2020,55.66,6.5,99.22999999999999,19.28000020980835,8.93999993801117,61.55000054836273,146.78499945163728
Grundarfjarðarbær,61.82000000000001,2020,11.86,3.71,20.32,1.75,1.75,13.850000381469727,27.64999961853028
Stykkishólmsbær,115.6,2020,19.06,1.75,32.97,3.8299999237060547,5.460000038146973,24.010000228881836,58.61999977111816
Eyja- og Miklaholtshreppur,11.46,2020,2.2,1.84,8.059999999999999,0,1.5299999713897705,3.209999918937683,0.19000008106231903
Snæfellsbær,145.12,2020,28.46,3.32,56.36,5.559999942779541,4.639999866485596,20.59000015258789,68.16999984741211
Dalabyggð,56,2020,10.35,2.5,19.93,0.20000000298023224,1.899999976158142,5.810000017285347,30.259999982714653
Bolungarvíkurkaupstaður,71.38,2020,14.88,2.52,26.150000000000002,3.4100000858306885,3.8399999141693115,15.300000190734863,29.929999809265126
